Title,Language,Link,Download
አማርኛ መዝገበ ቃላት,amharic,https://en.z-lib.gs/book/1053821/ed38a4/%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B-%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0-%E1%89%83%E1%88%8B%E1%89%B5.html,https://en.z-lib.gs/dl/1053821/a2f4a2
Leo (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/26705110/e821cc/leo-afrikaans-edition.html,https://en.z-lib.gs/dl/26705110/01e2d7
Prooi (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5683438/9ad4c0/prooi-afrikaans-edition.html,https://en.z-lib.gs/dl/5683438/b9a0e0
Fiela se kind,afrikaans,https://en.z-lib.gs/book/5351062/9cbf49/fiela-se-kind.html,https://en.z-lib.gs/dl/5351062/f9011d
አለቃ ገብረሐና እና አስቂኝ ቀልዶቻቸው,amharic,https://en.z-lib.gs/book/1054397/489558/%E1%8A%A0%E1%88%88%E1%89%83-%E1%8C%88%E1%89%A5%E1%88%A8%E1%88%90%E1%8A%93-%E1%8A%A5%E1%8A%93-%E1%8A%A0%E1%88%B5%E1%89%82%E1%8A%9D-%E1%89%80%E1%88%8D%E1%8B%B6%E1%89%BB%E1%89%B8%E1%8B%8D.html,https://en.z-lib.gs/dl/1054397/f80cb9
Toe soen jy my (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5792010/705830/toe-soen-jy-my-afrikaans-edition.html,https://en.z-lib.gs/dl/5792010/a80827
Feniks,afrikaans,https://en.z-lib.gs/book/5619878/7be128/feniks.html,https://en.z-lib.gs/dl/5619878/61393b
Tuki kamusi ya kiswahili-kiingereza. Swahili-English dictionary,swahili,https://en.z-lib.gs/book/3242992/c206d8/tuki-kamusi-ya-kiswahilikiingereza-swahilienglish-dictionary.html,https://en.z-lib.gs/dl/3242992/164bb2
13 uur,afrikaans,https://en.z-lib.gs/book/5351066/3e879b/13-uur.html,https://en.z-lib.gs/dl/5351066/69a128
Moord op Griekwastad. Die storie van die Steenkamp-treurspel,afrikaans,https://en.z-lib.gs/book/2540905/7fdae2/moord-op-griekwastad-die-storie-van-die-steenkamptreurspel.html,https://en.z-lib.gs/dl/2540905/8c9606
Merk (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5838572/f706a0/merk-afrikaans-edition.html,https://en.z-lib.gs/dl/5838572/6e1e6e
多吉杰博 常用藏族谚语词典,tigrinya,https://en.z-lib.gs/book/3269950/d609d2/%E5%A4%9A%E5%90%89%E6%9D%B0%E5%8D%9A-%E5%B8%B8%E7%94%A8%E8%97%8F%E6%97%8F%E8%B0%9A%E8%AF%AD%E8%AF%8D%E5%85%B8.html,https://en.z-lib.gs/dl/3269950/8fa7c4
Orion,afrikaans,https://en.z-lib.gs/book/5351070/b64306/orion.html,https://en.z-lib.gs/dl/5351070/5d146d
Ndoto Ya Amerika,swahili,https://en.z-lib.gs/book/21424449/1be918/ndoto-ya-amerika.html,https://en.z-lib.gs/dl/21424449/228069
张国焘传.txt,hausa,https://en.z-lib.gs/book/15932463/8d4ce0/%E5%BC%A0%E5%9B%BD%E7%84%98%E4%BC%A0txt.html,https://en.z-lib.gs/dl/15932463/5b5da4
Ultrasatyn 2 (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5312770/f0b113/ultrasatyn-2-afrikaans-edition.html,https://en.z-lib.gs/dl/5312770/6d842f
Donker Web,afrikaans,https://en.z-lib.gs/book/19266821/3c5879/donker-web.html,https://en.z-lib.gs/dl/19266821/1bf10b
